gameId,gameDate,personId,teamTricode,priorGames,finishing,shooting,playmaking,defense,rebounding,physical
22400083,2024-10-25,1630245,CHI,1,58.969318130212805,34.938981164675354,62.93732689319733,33.76106194690266,47.48893805309734,57.2
22400091,2024-10-26,1630245,CHI,2,44.15329834579832,29.31149968028439,68.04092005041373,37.76371308016878,44.789029535864984,57.2
22400108,2024-10-28,1630245,CHI,3,32.429589023109244,34.33097503707365,74.42108656258712,42.55514705882353,44.19117647058823,57.2
22400123,2024-10-30,1630245,CHI,4,32.184647338475706,35.00410494742362,80.98769987699876,45.84870848708487,52.63837638376384,57.2
22400136,2024-11-01,1630245,CHI,5,45.112290275882906,28.92477515499025,82.6545214045214,51.61363636363637,47.61363636363636,57.2
22400160,2024-11-04,1630245,CHI,6,39.29068383512087,32.03933710774734,78.23382290336313,47.14854111405835,52.09549071618037,57.2
22400176,2024-11-06,1630245,CHI,7,54.582187237189366,38.854300229334655,77.8652157668597,39.95049504950495,53.82838283828383,57.2
22400181,2024-11-07,1630245,CHI,8,46.47435897435898,34.827090717501676,83.11556023884792,40.64102564102565,50.769230769230774,57.2
22400198,2024-11-09,1630245,CHI,9,39.433155678950584,35.31231869505066,75.69060166886254,31.717171717171716,51.36363636363636,57.2
22400212,2024-11-11,1630245,CHI,10,51.52646087327781,40.263335175804215,75.28649122807018,31.199999999999996,48.56,57.2
22400219,2024-11-13,1630245,CHI,11,50.110364000069886,39.03877236665482,79.07063331405436,29.214285714285715,47.21428571428572,57.2
22400013,2024-11-15,1630245,CHI,12,53.98020589421502,41.11102324911225,79.32554475005587,30.48859934853421,44.73941368078176,57.2
22400241,2024-11-17,1630245,CHI,13,56.61787792372393,44.821899060694,82.07327908716798,29.431818181818183,44.48863636363636,57.2
22400244,2024-11-18,1630245,CHI,14,55.11673601479426,43.13483881525119,81.5970695970696,26.47619047619048,41.66666666666667,57.2
22400253,2024-11-20,1630245,CHI,15,50.899278714033855,37.718791328848255,81.22080954852102,26.29268292682927,34.63414634146342,57.2
22400030,2024-11-22,1630245,CHI,16,52.019768275203056,39.856579145763085,82.47764080251389,24.19047619047619,32.595238095238095,57.2
22400266,2024-11-23,1630245,CHI,17,56.2807346298854,41.20243561848472,82.16771718278981,23.539325842696627,34.943820224719104,57.2
22400035,2024-11-26,1630245,CHI,18,53.23234732824427,37.37442025776984,82.36241073627187,23.3587786259542,35.38167938931298,57.2
22400289,2024-11-27,1630245,CHI,19,55.556497175141246,40.053966044508904,78.80020495190243,23.966480446927374,31.815642458100555,57.2
22400047,2024-11-29,1630245,CHI,20,60.6255952626849,37.792130775264944,80.11991222919308,21.603053435114504,29.427480916030532,57.2
22400317,2024-12-02,1630245,CHI,21,59.91179957516026,36.94304071373881,81.24393203883496,18.834951456310677,27.37864077669903,57.2
22400331,2024-12-05,1630245,CHI,22,58.83477280074469,40.05475931224836,78.61243715402975,20.935960591133004,25.665024630541872,57.2
22400336,2024-12-06,1630245,CHI,23,63.400328505300884,42.97198236071069,82.8933933933934,19.2972972972973,32.83783783783784,57.2
22400347,2024-12-08,1630245,CHI,24,64.2976477165219,46.96508712978414,83.2943722943723,24.87012987012987,30.76298701298701,57.2
22401212,2024-12-13,1630245,CHI,25,63.04462907139181,46.73095094056982,82.99456177144809,23.59605911330049,30.59113300492611,57.2
22401223,2024-12-16,1630245,CHI,26,63.89448123620309,50.739938869077946,81.85816021046902,26.688741721854306,27.6158940397351,57.2
22400363,2024-12-19,1630245,CHI,27,63.06006114008272,47.4661401729218,84.561736770692,23.64179104477612,25.776119402985074,57.2
22400381,2024-12-21,1630245,CHI,28,62.241426873779815,51.00315026686458,84.7250904832872,23.6038961038961,29.545454545454547,57.2
22400398,2024-12-23,1630245,CHI,29,61.64260869565218,49.05887774061688,84.21630036630037,24.693333333333335,30.426666666666662,57.2
22400413,2024-12-26,1630245,CHI,30,62.82711614626508,45.47307431667342,86.18277251851158,25.106382978723406,29.425531914893618,57.2
22400563,2025-01-15,1630245,CHI,31,61.49396038214773,46.989221336947,86.55610442334621,24.911032028469748,29.12811387900356,57.2
22400584,2025-01-17,1630245,CHI,32,62.23519684893077,44.81245023595441,84.40235578831937,26.39484978540773,28.66952789699571,57.2
22400597,2025-01-19,1630245,CHI,33,63.871316418250075,48.77005347593583,85.570559539203,26.43617021276596,28.56382978723404,57.2
22400611,2025-01-20,1630245,CHI,34,60.8495145631068,45.120120863879535,86.11914832259924,25.14563106796117,26.820388349514566,57.2
22400628,2025-01-23,1630245,CHI,35,62.5184465008073,48.25549887307649,85.45599011212148,23.983402489626556,26.078838174273855,57.2
22400642,2025-01-25,1630245,CHI,36,64.5790563105003,47.765413188657185,85.57363361113714,25.74585635359116,26.781767955801104,57.2
22400655,2025-01-27,1630245,CHI,37,62.40083746255139,48.798538841585206,86.0029687049025,25.0,27.04113924050633,57.2
22400666,2025-01-29,1630245,CHI,38,61.32385458733793,49.56865958761127,83.39781746031746,25.972222222222225,23.802083333333336,57.2
22400682,2025-01-31,1630245,CHI,39,58.57324962991391,47.609031188763346,84.56219806763285,24.510869565217387,24.619565217391305,57.2
22400695,2025-02-02,1630245,CHI,40,52.25806451612903,44.62008345269557,86.19315177154944,24.193548387096776,21.85483870967742,57.2
22400714,2025-02-04,1630245,CHI,41,58.44919786096258,49.66628051393418,85.44153779447898,24.331550802139038,26.898395721925134,57.2
22400723,2025-02-05,1630245,CHI,42,61.220476712923336,53.19092169699985,85.22074161329114,25.05190311418685,24.75778546712803,57.2
22400745,2025-02-08,1630245,CHI,43,60.71835551619388,52.602786660520465,83.33198904081527,26.25441696113074,23.498233215547703,57.2
22400766,2025-02-11,1630245,CHI,44,56.90627333831218,51.01304305187801,80.36127707244212,23.173076923076927,22.64423076923077,57.2
22400775,2025-02-12,1630245,CHI,45,61.27668701691372,53.47533143339883,81.77818678582484,27.35218508997429,21.195372750642676,57.2
22400792,2025-02-20,1630245,CHI,46,62.76876721763085,50.17080423395897,81.76453225918468,24.462809917355372,21.528925619834713,57.2
22400855,2025-02-28,1630245,CHI,47,61.69123453540406,47.78387172527995,79.66387353397093,25.38167938931298,19.942748091603054,57.2
22500084,2025-10-22,1630245,CHI,48,59.76309100152517,45.909859587866194,81.8530210844526,28.505338078291814,17.259786476868328,57.2
22500100,2025-10-25,1630245,CHI,49,60.00566410007981,44.236223134788716,79.53358479617003,30.245901639344265,22.37704918032787,57.2
